,id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
77,18,True,51.51477076,false,-0.12221963,"Drury Lane, Covent Garden",21,27,6,False,1007,2010-07-06,
78,351,True,51.529423,false,-0.097122,"Macclesfield Rd, St Lukes",21,28,7,False,1226,2010-10-11,
79,214,True,51.52683806,false,-0.130504336,"Endsleigh Gardens, Euston",21,32,11,False,1079,2010-07-19,
80,476,True,51.489096,false,-0.009205,"Stebondale Street, Cubitt Town",23,29,6,False,200009,2012-01-19,
81,66,True,51.51795029,false,-0.108657431,"Holborn Circus, Holborn",23,40,17,False,982,2010-07-11,
82,194,True,51.50462759,false,-0.091773776,"Hop Exchange, The Borough",24,56,32,False,960,2010-07-17,
83,574,True,51.53356,false,-0.09315,"Eagle Wharf Road, Hoxton",25,45,20,False,200246,2012-04-05,
84,104,True,51.51159481,false,-0.077121322,"Crosswall, Tower",26,34,8,False,991,2010-07-14,
85,25,True,51.5288338,false,-0.132250369,"Doric Way , Somers Town",26,50,24,False,1004,2010-07-06,
86,556,True,51.502661,false,-0.021596,"Heron Quays DLR, Canary Wharf",27,27,0,False,200138,,
87,80,True,51.50069361,false,-0.102091246,"Webber Street , Southwark",31,45,14,False,3448,2010-07-12,
88,421,True,51.504044,false,-0.104778,"Southwark Station 2, Southwark",31,45,14,False,22163,2011-06-28,
89,24,True,51.51908011,false,-0.124678402,"British Museum, Bloomsbury",33,35,2,False,981,2010-07-06,
